"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C5, C6, C7, C8","5","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2","1","4.7uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"3","C3","1","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"4","C4","1","220nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"5","J1, J2, J3, J4","4","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"6","L1","1","1.5uH","DKA:IND_FP",""
"7","R1","1","2.2MΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R2","1","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"9","R3","1","3.3Ω","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"10","RV1","1","1MΩ","DKA:POT_FP",""
"11","U1","1","NB679","DKA:IC_NB679_FP",""
